************* Module lgeo.lgeo_city
W:145, 4: Unused variable 'lg_quality' (unused-variable)
************* Module lgeo.config.lgeo_cfg
C:  5, 0: Invalid constant name "lg_quality" (invalid-name)
C: 11, 0: Invalid constant name "lg_test" (invalid-name)
C: 16, 0: Invalid constant name "lg_studs" (invalid-name)
C: 23, 0: Invalid constant name "lg_stud_logo" (invalid-name)
************* Module lgeo.set.lg_10036_1_main
W:107,-1: String statement has no effect (pointless-string-statement)
W:120,-1: String statement has no effect (pointless-string-statement)
************* Module lgeo.set.lg_10036_1_house
W: 54,-1: String statement has no effect (pointless-string-statement)
W: 67,-1: String statement has no effect (pointless-string-statement)
C:169, 0: Invalid constant name "set_10036_1_house_nonmoving" (invalid-name)
E:169,30: Undefined variable 'Union' (undefined-variable)
************* Module lgeo.set.lg_10036_1_car
W: 43,-1: String statement has no effect (pointless-string-statement)
W: 56,-1: String statement has no effect (pointless-string-statement)
W: 64,-1: String statement has no effect (pointless-string-statement)
W:112, 0: Wildcard import lgeo.include.common.lg_defs (wildcard-import)
W:146, 0: Wildcard import lgeo.include.common.lg_color (wildcard-import)
C:150, 0: Invalid argument name "ox" (invalid-name)
C:150, 0: Invalid argument name "oy" (invalid-name)
C:150, 0: Invalid argument name "oz" (invalid-name)
C:150, 0: Invalid argument name "rx" (invalid-name)
C:150, 0: Invalid argument name "ry" (invalid-name)
C:150, 0: Invalid argument name "rz" (invalid-name)
R:150, 0: Too many arguments (6/5) (too-many-arguments)
W:150,26: Unused argument 'oz' (unused-argument)
W:150,20: Unused argument 'oy' (unused-argument)
W:150,14: Unused argument 'ox' (unused-argument)
W:150,32: Unused argument 'rx' (unused-argument)
W:150,38: Unused argument 'ry' (unused-argument)
W:150,44: Unused argument 'rz' (unused-argument)
W:285,-1: String statement has no effect (pointless-string-statement)
W:291,-1: String statement has no effect (pointless-string-statement)
W:295,-1: String statement has no effect (pointless-string-statement)
W:306,-1: String statement has no effect (pointless-string-statement)
W:310,-1: String statement has no effect (pointless-string-statement)
W:315,-1: String statement has no effect (pointless-string-statement)
W:319,-1: String statement has no effect (pointless-string-statement)
W:326,-1: String statement has no effect (pointless-string-statement)
W:330,-1: String statement has no effect (pointless-string-statement)
W:338,-1: String statement has no effect (pointless-string-statement)
W:342,-1: String statement has no effect (pointless-string-statement)
W:351,-1: String statement has no effect (pointless-string-statement)
W:355,-1: String statement has no effect (pointless-string-statement)
W:359,-1: String statement has no effect (pointless-string-statement)
W:363,-1: String statement has no effect (pointless-string-statement)
W:370,-1: String statement has no effect (pointless-string-statement)
W:466,-1: String statement has no effect (pointless-string-statement)
W:112, 0: Unused import lg_plate_cylinder from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Translate from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_test from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_GRID_WIDTH from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_brick_column_clear from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Object from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_BRICK_HEIGHT from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_KNOB_INNER_RADIUS from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_KNOB_HEIGHT from wildcard import (unused-wildcard-import)
W:112, 0: Unused import SdlSyntaxException from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_stud_logo from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_PLATE_INNER_HEIGHT from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_knob_clear from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_studs from wildcard import (unused-wildcard-import)
W:112, 0: Unused import debug from wildcard import (unused-wildcard-import)
W:112, 0: Unused import x from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_BRICK_WIDTH from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Scale from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_tech_knob from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_CYLINDER_WALL_WIDTH from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_PLATE_HEIGHT from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lego_logo_text_clear from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lego_logo_text from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LDU from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_plate_column_clear from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Intersection from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_brick_column from wildcard import (unused-wildcard-import)
W:112, 0: Unused import math from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_CYLINDER_RADIUS from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Box from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_KNOB_HEIGHT_LOGO from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_knob_dot from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_BRICK_INNER_HEIGHT from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LGBH from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Vector from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_support_wall from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Cylinder from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_brick_cylinder from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_E from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_support_wall_clear from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_plate_cylinder_clear from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_knob_inner_space from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Merge from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_plate_column from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_brick_cylinder_clear from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_tech_knob_logo_clear from wildcard import (unused-wildcard-import)
W:112, 0: Unused import z from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_CORNER_SPACE from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_WALL_WIDTH from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_CROSSAXLE_WIDTH from wildcard import (unused-wildcard-import)
W:112, 0: Unused import ClippedBy from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_KNOB_RADIUS from wildcard import (unused-wildcard-import)
W:112, 0: Unused import sqrt from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_quality from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Plane from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Difference from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_knob_inner_space_clear from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Rotate from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Torus from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_KNOB_CORNER_SPACE from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_tech_knob_clear from wildcard import (unused-wildcard-import)
W:112, 0: Unused import Sphere from wildcard import (unused-wildcard-import)
W:112, 0: Unused import lg_knob from wildcard import (unused-wildcard-import)
W:112, 0: Unused import y from wildcard import (unused-wildcard-import)
W:112, 0: Unused import LG_TOP_HEIGHT from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_dark_green from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_undefined from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_pearl_finish from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_violet from wildcard import (unused-wildcard-import)
W:146, 0: Unused import Interior from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_dark_blue from wildcard import (unused-wildcard-import)
W:146, 0: Unused import Finish from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_gold_chrome from wildcard import (unused-wildcard-import)
W:146, 0: Unused import Pigment from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_green from wildcard import (unused-wildcard-import)
